"[327.73, 0, 1, 2003, 0]","[0]","0","[ True]"
"[745.0, 0, 0, 1993, 0]","[0]","0","[ True]"
"[530.092, 0, 0, 1992, 1]","[0]","0","[ True]"
"[133.9013, 11, 7, 2002, 1]","[0]","0","[ True]"
"[610.9714, 0, 0, 1989, 1]","[0]","0","[ True]"
"[793.8092, 0, 1, 2011, 0]","[0]","0","[ True]"
"[158.1, 1, 0, 2012, 1]","[1]","1","[ True]"
"[928.41, 0, 0, 1980, 1]","[0]","0","[ True]"
"[306.81, 0, 0, 2005, 0]","[0]","0","[ True]"
"[302.17, 0, 0, 2005, 1]","[0]","0","[ True]"
"[320.0, 0, 1, 2011, 1]","[0]","0","[ True]"
"[658.470944, 0, 0, 2012, 1]","[0]","0","[ True]"
"[398.9, 0, 1, 2011, 1]","[0]","0","[ True]"
"[784.20971, 0, 0, 2000, 1]","[0]","0","[ True]"
"[781.65092, 0, 1, 2013, 0]","[0]","1","[False]"
"[843.914, 1, 4, 1998, 1]","[0]","0","[ True]"
"[302.23, 0, 0, 2003, 1]","[0]","0","[ True]"
"[921.0, 0, 0, 1979, 0]","[0]","0","[ True]"
"[781.5, 0, 0, 2010, 0]","[0]","0","[ True]"
"[971.05, 0, 0, 2006, 0]","[0]","0","[ True]"
"[792.0924, 0, 0, 1986, 1]","[0]","0","[ True]"
"[612.8, 0, 0, 2011, 0]","[0]","0","[ True]"
"[618.928588, 0, 0, 2006, 1]","[0]","1","[False]"
"[609.0, 0, 0, 2007, 0]","[0]","0","[ True]"
"[236.2, 0, 2, 2007, 1]","[0]","0","[ True]"
"[330.9714, 1, 3, 2012, 1]","[1]","1","[ True]"
"[792.8028, 0, 0, 1991, 0]","[0]","0","[ True]"
"[828.0, 0, 0, 2012, 0]","[0]","0","[ True]"
"[658.4, 0, 0, 2009, 0]","[1]","1","[ True]"
"[591.508, 0, 0, 1964, 1]","[0]","0","[ True]"
"[782.42164, 0, 0, 2010, 1]","[0]","1","[False]"
